Relation between Centrality and Impact parameter - O
b(fm)     Centrality(%)
12.6066     99.9985
12.646     99.9986
12.6854     99.9986
12.7248     99.9986
12.7642     99.9986
12.8036     99.9989
12.843     99.9989
12.8824     99.9989
12.9218     99.9989
12.9612     99.999
13.0006     99.9992
13.04     99.9993
13.0794     99.9993
13.1188     99.9993
13.1582     99.9993
13.1976     99.9995
13.237     99.9995
13.2764     99.9995
13.3158     99.9995
13.3552     99.9996
13.3946     99.9997
13.434     99.9998
13.4734     99.9999
13.5127     99.9999
13.5521     99.9999
13.5915     99.9999
13.6309     99.9999
13.6703     99.9999
13.7097     100
13.7491     100
13.7885     100
13.8279     100
13.8673     100
13.9067     100
